PC1,PC2,type
-24.2195863677,19.698261861,1
-106.850744368,2.17867168109,1
11.0422330649,-37.892074462,1
25.6751562796,22.8844549881,1
0.886893212691,-16.2399574453,1
47.2696643205,2.20496744767,1
-9.983273169,-30.2836850166,1
-70.9568275091,-13.2345963991,1
-82.978860677,-50.7902745882,1
-10.5775967953,18.2933463749,1
-56.1564944407,-21.1089283463,1
-33.3559374069,-10.0713877626,1
-66.5558297397,16.7351209973,1
-36.7379436447,4.06586921216,1
-55.9550369007,-22.2161371309,1
-78.608415877,-24.1116647536,1
-79.6556859041,16.6666939776,1
-3.33845660906,-32.5622167573,1
-5.38143518138,-0.369559317518,1
-91.8193037326,-54.4061530068,1
17.9305287176,-24.3469155661,1
54.6511326315,34.4490979867,1
7.860617561,-27.5267879683,1
13.6417544714,-42.2752594644,1
49.9837087202,5.50283624085,1
-49.4282960525,42.7487534023,1
-67.8661719851,25.4343034368,1
105.713065312,80.3442631472,1
-51.11507505,-1.55606797541,1
-35.7291276726,7.52436326249,1
38.5720052233,39.2550826983,1
17.867405374,113.285929775,1
114.994223871,69.2678228937,1
-0.846715970433,-11.6338490481,1
-53.9501371444,20.4840415283,1
280.782880097,-46.3915866306,1
3.64563166075,38.0280001465,1
280.80166855,-46.2185489168,1
-52.6776894835,0.421930485527,1
82.5012966583,94.0970503121,1
59.9801294595,80.1940709063,1
16.7307422808,47.5517056184,1
12.2949160913,12.9354560903,1
-18.0003365497,20.9948719366,1
-31.2951810436,-40.6591490368,1
-45.0249049224,-59.6087383767,1
-30.5341291209,-5.50176860736,1
-59.4706685336,-1.47741817821,1
-32.9369672218,61.4598799295,1
24.8150165016,-61.1096869856,1
-27.3862767039,-23.3553986619,1
55.8147807215,-30.8090183509,1
-30.2437467402,-10.3703524694,1
31.5429390499,19.3984653819,1
-99.9956126013,-16.1433301648,1
-22.9861617879,27.3427907548,1
145.82103809,84.2761405304,1
11.4802921549,34.4917971826,1
-25.7134105296,-54.2719268679,1
-37.171262516,50.0614969104,1
-35.4742056493,30.7725048138,1
-57.1654703544,-13.8642133405,1
-97.5343561857,8.44983896932,1
33.9429418835,15.9443665383,1
33.9860563622,62.4309326635,1
-21.6133325393,-7.68913560398,1
-4.53191976215,-40.0194781902,1
15.2852417522,-27.9639351402,1
281.90199293,-37.9652717538,1
-51.7869450498,-46.3087726473,1
-19.6491387053,-47.3666868607,1
281.514396873,-40.8547766732,1
-14.1090475861,-56.0336569946,1
15.7543090218,7.05115394502,1
-0.945454215846,51.0109031698,1
29.7662473058,141.568939345,1
-2.52117842369,20.1746102777,1
-61.3001870299,-16.8877617323,1
-74.1607538336,-26.096709305,1
-35.1031653323,-10.2394502488,1
281.026760119,-44.5055946154,1
281.351769096,-42.1524933793,1
-59.2046492181,8.62648584283,1
-82.8962634315,3.86847485642,1
280.839245456,-45.8724734892,1
-11.9194563875,-44.6230874743,1
-66.4489400292,-22.1739057489,1
-88.4191751272,7.66458641827,1
80.3628370202,98.2927159781,1
-20.2435505706,14.1607488376,1
-2.14435248056,-25.6295273837,1
-27.8552509868,-43.2099061042,1
2.78186510288,-17.2983131568,1
-106.480990182,-50.1235450367,1
-72.097898703,-5.29392017484,1
75.2736005091,37.3182111544,1
19.6662174843,-35.927686443,1
-45.0034392256,-43.1705223578,1
22.7384522631,25.7654750052,1
-97.5520708208,-27.7812718617,1
51.0975483558,-23.7272739619,1
-113.44701352,14.0016837216,1
-100.718759821,17.5168555548,1
-45.9868977766,-2.09901689194,1
-2.49799408924,-9.36202758688,1
39.9633171719,120.755342816,1
-25.563231836,-50.3455210798,1
280.901709248,-45.4572358939,1
280.739204759,-46.633786512,1
85.1616997593,64.9411011623,1
-4.41647259704,29.0845771698,1
-95.2795101627,19.4038144469,1
-57.2426013059,-49.3361638741,1
-8.272394913,-72.5637159556,1
-35.554119768,16.9385957031,1
-59.055560719,-16.3166191175,1
68.0445209272,116.430581363,1
-42.6177007047,-6.82977372275,1
-30.2639833716,15.9224687862,1
-37.9560924013,9.40703761964,1
36.4794921591,22.8921555567,1
-65.7977091386,-20.0018118386,1
-96.2822361726,-33.7727818345,1
12.1202965138,28.8858622303,1
45.4802691103,15.7080278652,1
-15.9384899155,-30.18355513,1
12.2542916239,21.5118322007,1
-54.855913816,-25.929523043,1
1.41978581537,-13.5759848526,1
-15.3087617008,-6.47139231851,1
18.9969450837,33.8210775512,1
