PC1,PC2,PC3,type
-24.2195863677,19.6982618641,-42.8586233635,1
-106.850744368,2.17867166462,-12.9589492905,1
11.0422330649,-37.8920744638,23.5100281161,1
25.6751562796,22.8844549781,-44.7741162203,1
0.886893212692,-16.2399574483,39.6522446814,1
47.2696643205,2.20496743477,22.8041616769,1
-9.983273169,-30.2836850196,12.7286708673,1
-70.9568275091,-13.2345964022,-21.0490328211,1
-82.978860677,-50.79027458,10.6311005776,1
-10.5775967953,18.2933463703,-43.523427412,1
-56.1564944407,-21.1089283381,-3.61681131762,1
-33.3559374069,-10.0713877605,-10.3971568487,1
-66.5558297397,16.7351209978,-31.7283588684,1
-36.7379436447,4.06586921376,-39.4954475163,1
-55.9550369007,-22.2161371249,-16.7640988104,1
-78.608415877,-24.1116647474,32.3014218893,1
-79.6556859041,16.6666939765,-59.3833160929,1
-3.33845660906,-32.5622167637,-11.6529318014,1
-5.38143518138,-0.369559303426,14.7019099549,1
-91.8193037326,-54.4061530083,39.8845071742,1
17.9305287176,-24.3469155555,23.7308983335,1
54.6511326315,34.449097986,-56.3678825004,1
7.860617561,-27.526787967,15.1626453531,1
13.6417544714,-42.2752594654,15.9624820913,1
49.9837087202,5.50283624453,24.2219555744,1
-49.4282960525,42.7487534078,-28.232452581,1
-67.8661719851,25.4343034313,-37.4082804838,1
105.713065312,80.3442631622,69.9493216943,1
-51.11507505,-1.55606796954,25.3020667531,1
-35.7291276726,7.52436326141,-1.08288284027,1
38.5720052233,39.2550827073,-40.9166135973,1
17.867405374,113.285929785,77.161212667,1
114.994223871,69.2678229006,59.2138840978,1
-0.846715970433,-11.6338490458,-14.5384806106,1
-53.9501371444,20.4840415346,-40.1287659111,1
280.782880097,-46.3915866347,-23.2510397481,1
3.64563166075,38.0280001531,-41.1929541988,1
280.80166855,-46.2185489206,-23.248446621,1
-52.6776894835,0.421930486425,17.4598893083,1
82.5012966583,94.097050325,73.8169336904,1
59.9801294595,80.1940709187,69.5780277841,1
16.7307422808,47.5517056105,-67.71738411,1
12.2949160913,12.9354560921,-43.7470015924,1
-18.0003365497,20.9948719306,-45.9067917432,1
-31.2951810436,-40.6591490385,6.80166524583,1
-45.0249049224,-59.6087383608,32.9853711973,1
-30.5341291209,-5.50176860852,7.22825481547,1
-59.4706685336,-1.47741817464,-34.6771307636,1
-32.9369672218,61.4598799181,-45.4121691327,1
24.8150165016,-61.1096869829,41.6984476672,1
-27.3862767039,-23.3553986752,-9.34473073519,1
55.8147807215,-30.809018347,30.4542522567,1
-30.2437467402,-10.3703524706,42.6668888908,1
31.5429390499,19.398465395,-45.8251911137,1
-99.9956126013,-16.1433301724,23.6600604148,1
-22.9861617879,27.3427907632,-16.4504492491,1
145.82103809,84.2761405393,48.3888705706,1
11.4802921549,34.4917971856,-54.3220612994,1
-25.7134105296,-54.2719268683,34.753197197,1
-37.171262516,50.0614969168,-33.7892429777,1
-35.4742056493,30.7725048123,-19.801346254,1
-57.1654703544,-13.8642133446,-15.7528248766,1
-97.5343561857,8.44983897008,-12.2559138404,1
33.9429418835,15.9443665344,-20.1550132206,1
33.9860563622,62.4309326822,55.0288596813,1
-21.6133325393,-7.68913560637,-27.7224976785,1
-4.53191976215,-40.0194781896,17.0498964328,1
15.2852417522,-27.9639351288,10.6316664568,1
281.90199293,-37.9652717481,-23.479341558,1
-51.7869450498,-46.3087726472,14.3892887364,1
-19.6491387053,-47.366686862,28.277885758,1
281.514396873,-40.8547766708,-23.3943918722,1
-14.1090475861,-56.0336569996,39.1526909306,1
15.7543090218,7.05115394805,-35.2886012215,1
-0.945454215846,51.0109031707,-37.049965937,1
29.7662473058,141.568939343,79.6354227803,1
-2.52117842369,20.1746102753,-42.6448227652,1
-61.3001870299,-16.8877617318,7.17096727209,1
-74.1607538336,-26.0967092973,22.1095795447,1
-35.1031653323,-10.239450252,36.4212729606,1
281.026760119,-44.5055946172,-23.2906743202,1
281.351769096,-42.1524933787,-23.3761182934,1
-59.2046492181,8.62648584094,-2.43903049422,1
-82.8962634315,3.86847485669,-12.5103266354,1
280.839245456,-45.8724734924,-23.243260367,1
-11.9194563875,-44.6230874814,29.297081998,1
-66.4489400292,-22.1739057483,24.6811968521,1
-88.4191751272,7.66458642558,17.6940028098,1
80.3628370202,98.2927159799,79.1890266389,1
-20.2435505706,14.1607488334,-46.9273624897,1
-2.14435248056,-25.6295273788,42.1551281383,1
-27.8552509868,-43.2099061052,14.1502730782,1
2.78186510288,-17.2983131441,27.4440573915,1
-106.480990182,-50.1235450383,12.2645062391,1
-72.097898703,-5.29392018353,7.7891570207,1
75.2736005091,37.3182111666,-25.8551275636,1
19.6662174843,-35.9276864539,31.9568124192,1
-45.0034392256,-43.1705223533,25.5693814259,1
22.7384522631,25.765475003,-62.2191171648,1
-97.5520708208,-27.7812718648,21.7717357495,1
51.0975483558,-23.7272739572,33.0873214192,1
-113.44701352,14.0016837196,-19.3579296742,1
-100.718759821,17.5168555505,-5.17853178037,1
-45.9868977766,-2.09901689401,-8.57147235545,1
-2.49799408924,-9.36202758025,-35.8028580957,1
39.9633171719,120.75534281,68.8593108248,1
-25.563231836,-50.3455210849,28.4292193462,1
280.901709248,-45.4572358968,-23.2672144873,1
280.739204759,-46.6337865161,-23.2244925007,1
85.1616997593,64.941101155,65.1938106116,1
-4.41647259704,29.0845771734,-8.27327153257,1
-95.2795101627,19.4038144324,-21.3153141909,1
-57.2426013059,-49.3361638795,43.3756385644,1
-8.272394913,-72.5637159435,32.991654605,1
-35.554119768,16.9385957151,-1.81945410193,1
-59.055560719,-16.3166191307,-23.8838357031,1
68.0445209272,116.430581354,74.7577267294,1
-42.6177007047,-6.82977372572,-31.1295516344,1
-30.2639833716,15.9224687849,-23.9629279571,1
-37.9560924013,9.40703760762,13.3019938201,1
36.4794921591,22.8921555604,-47.1626776136,1
-65.7977091386,-20.0018118371,44.6549653766,1
-96.2822361726,-33.7727818393,53.8054606381,1
12.1202965138,28.8858622331,-56.029420778,1
45.4802691103,15.7080278642,-46.5833501264,1
-15.9384899155,-30.1835551353,-3.21565024517,1
12.2542916239,21.5118322101,-20.1020230459,1
-54.855913816,-25.9295230424,30.1088770254,1
1.41978581537,-13.575984849,-29.3018570183,1
-15.3087617008,-6.4713923157,-32.9977444145,1
18.9969450837,33.8210775569,-49.8434108467,1
-71.5717222743,3.03107181474,-25.0242334242,1
-9.26057512706,-3.06322650569,-41.4606356065,1
-74.2939437476,-12.4655051951,51.6617983756,1
21.6353135548,17.9449002394,-50.7286069579,1
-65.7171434085,-57.4355445006,26.5045936304,1
-76.4174598547,-28.3273528019,23.5145018069,1
-42.0876708542,-3.13356294707,-6.97436755034,1
-112.16083606,32.1727487738,-40.0259216477,1
-16.3527472173,0.414599603998,18.9013558954,1
-17.7114783603,-41.1295133851,14.3996502477,1
280.770436655,-46.4261677183,-23.2364695608,1
-61.7210193024,-16.4335345643,19.2260080384,1
-87.1329889493,24.8264178735,-26.2122051822,1
7.20829870704,-45.7982824482,30.7857982487,1
-47.7018208614,-23.5986042245,36.0682527049,1
-47.4980857159,-9.46694827415,-11.5369344539,1
-78.6036158509,-44.8716553685,42.3644718806,1
51.4073085745,42.1094485354,-51.968574511,1
-16.0942215755,-8.96405073366,-25.5981999555,1
35.5246414465,18.6993273327,-41.1102252447,1
24.6857799718,25.289781414,-40.3653453643,1
2.26672411874,-4.70462552136,-29.0114102078,1
8.94369834958,-26.7319319321,14.5018394764,1
-48.868515012,0.514384598222,23.1543153567,1
-25.0149016732,-39.3910973463,21.1844251411,1
-23.3885829831,27.2566637729,-18.9828297074,1
281.182919597,-43.4675006283,-23.350559621,1
-98.5195462245,-5.54861879191,6.44891278995,1
-58.3924710006,33.0972443274,-38.7524270155,1
100.742081317,70.2699682019,76.7764166528,1
-18.8086229591,18.6724902556,-45.2209221832,1
-54.7141194668,-0.906010248561,-24.8552081296,1
-38.8047355047,-56.6263019192,43.6900920088,1
-135.197992695,35.9723886361,-28.1454600123,1
-29.0874112547,35.5116776399,-60.8280812451,1
-53.693939673,8.57175691595,12.5308394331,1
-78.2748211811,39.9873350001,-42.7083817113,1
-42.4408715234,-53.7670595317,48.9419091053,1
-15.3537771981,-10.6283365159,43.7861300639,1
2.01435815787,23.6508019519,-56.1892363212,1
-0.855643811647,33.1889240805,-55.5195059437,1
65.1599875144,114.377482738,82.7411371466,1
-105.760062023,-46.8580016326,53.8841619272,1
-65.6837857658,-49.3813287511,5.35809716582,1
280.370273866,-49.4714198133,-23.1613980957,1
22.1604539879,30.6680210351,-54.8812921451,1
-38.0140138867,45.4196289789,-38.2178982105,1
35.7697731426,21.2224501914,-45.8557375466,1
88.7205021908,83.5013560674,57.1775863425,1
48.0976501646,-37.5264030127,31.5257698834,1
-12.0795782176,-48.4239175523,23.2633623081,1
92.7619118703,98.9901910703,93.829584777,1
4.28181702846,-1.57814789719,-36.6198095615,1
-27.5474803982,-61.8013500555,41.3635974952,1
-61.2812012851,29.6230193297,-33.7163810495,1
-25.1368444734,-38.7966721352,51.5245891807,1
-59.7629840601,15.0537527186,-55.2295204652,1
-25.124851005,-40.1140960833,16.4724973581,1
110.908137881,81.3775526135,64.1416693024,1
-9.19761647184,26.4710477918,-57.3934969703,1
280.595365435,-47.7584655099,-23.2036257948,1
-15.2870829753,6.21011348305,-37.418599808,1
7.65139058387,-49.4033750703,31.3334327535,1
19.817542776,7.03155027832,-37.0010847015,1
21.4791427095,-38.0925935644,15.9312777207,1
-8.86400192958,-4.45834513635,-7.46423016996,1
-37.7951285833,-24.7050320117,-17.1262170038,1
18.9103344122,-45.2978362652,34.5937346943,1
-30.8021365289,44.2942884972,-25.0664511938,1
-8.99286138432,2.8426931057,-35.5179392391,1
-11.381243207,0.00644493985571,-48.0535972608,1
-41.4995347288,-15.71576186,-0.577762385591,1
-40.2452053402,-46.3530466051,22.2735558466,1
-42.0407811862,-10.5340192284,-14.0740737617,1
-5.02521993912,-39.3129200753,5.35656142532,1
-33.6918985314,-28.65470055,-6.15043175624,1
-12.4073696907,-20.5210427046,13.4670372769,1
-25.8519199417,-15.6141233047,24.5156453558,1
-37.0933878403,13.2297482685,-51.5808545116,1
-77.5253168701,-26.6218302102,29.5776388839,1
-109.061872052,-4.14806471395,-3.00665804848,1
-75.6059878433,21.5229010087,-13.8741016295,1
1.02689415187,-11.9931352955,24.0719367992,1
-32.7146185911,3.07293725752,-40.802164304,1
-139.901305246,17.6915771816,-20.1109761978,1
-7.71065669536,-31.2535990541,25.2959698265,1
-38.0896592943,7.08682724894,-49.6088678924,1
-27.2046139337,-10.2067127252,35.835085719,1
-46.8101667547,-10.211643074,44.1909055509,1
-38.2814330037,-10.8274227694,2.30218923864,1
-55.7794999682,25.5843602951,-12.0185184225,1
101.851934201,55.4868948458,47.0652406066,1
5.93896311053,-18.7449666686,20.1361614766,1
14.7054459385,28.5916532774,-55.9118910918,1
3.48420049132,23.0691451782,-48.7525022303,1
-29.4623597484,-42.7102708175,10.9274891742,1
-72.5522311362,-15.0269507187,38.6044742238,1
-48.9734528769,-5.21472493278,-30.4339779845,1
13.9998260103,27.9177477894,-52.5293194652,1
13.726905645,-39.1826937723,14.9234483657,1
27.0881155846,-43.0406094642,26.6134850362,1
281.426799619,-41.5815086109,-23.3901941931,1
-64.2183342269,2.53352417898,-0.0111126006395,1
12.0112539877,-36.3946131519,18.7780189052,1
-14.9717726215,31.983560285,-19.8219388077,1
-3.28221219905,7.4351919861,-45.0335722956,1
44.7017705896,54.5058633415,-40.442107543,1
-41.8550261777,1.2735893098,-38.438705875,1
-41.6164648847,-19.0146377458,20.2788057833,1
-43.7057384434,-6.80939185375,-31.8866634321,1
-81.0436547553,37.5436671223,-45.6594250712,1
-14.3981158091,62.1800955686,68.1916615215,1
2.09833688088,9.47179877313,-37.6883969951,1
37.991427634,13.3585969945,-24.5137267612,1
-7.16603373313,-6.88718049763,8.52728318983,1
281.108012363,-43.9173193075,-23.3120353135,1
-89.541348334,26.2047096866,-9.13593854961,1
-61.8081757886,-28.4519347167,34.6935112617,1
14.3301969836,-47.0034109511,25.1374701525,1
-31.0010367691,24.9265406097,-36.8179111314,1
-15.5768575004,2.94517503537,-32.8271593174,1
24.8515515374,-8.65728087997,29.1585942909,1
282.201991733,-35.8024987655,-23.5600935647,1
75.3086307111,79.1998746963,63.1289868515,1
-7.66486023726,-7.17522681778,-43.2931756702,1
-51.8472603666,-15.444064779,26.4149133297,1
-56.3572306442,-30.6086334703,-0.687171425256,1
-50.7812415977,-28.4118489915,24.5427964199,1
-65.370827489,38.215767974,-35.9877252153,1
-114.424895886,-23.3513221633,15.3101911708,1
-155.87080118,33.6587551966,-20.4241865822,1
4.12367324904,-12.6987423799,-12.7098882529,1
-65.298985048,-11.0574893102,3.17047843718,1
57.3354088173,-3.78889819826,13.9719031506,1
-118.550754919,-1.02294798989,2.50090340557,1
-48.9914190388,0.805531665917,-46.1714847111,1
8.102538551,-22.7805937388,30.1311754956,1
-23.612166948,-18.8799111849,-13.6180118265,1
-16.7059588754,-46.0903529042,46.0775425746,1
-44.2573367479,-30.1305262488,5.27831796321,1
15.3804140629,-34.1548069575,16.5542059623,1
11.5046562968,18.4343202573,-43.1895827233,1
-35.9941273845,-41.1285775471,56.4403424418,1
81.3785967419,91.8868365985,72.6112609656,1
-18.7550817268,-17.8367992304,46.0248858875,1
56.1336044317,15.9806433616,-42.9677467112,1
-94.0946362641,56.8235447225,-45.0046478415,1
-67.5955463565,12.8708730199,-24.9570506698,1
15.942591756,26.0535470299,-55.7009891246,1
-89.206188906,2.5160823032,-2.50453080412,1
-5.17900593511,33.5821170949,-24.8485863236,1
-50.5190011843,-42.8430247552,27.0644539905,1
-73.3669721447,-38.7333110077,42.2014888121,1
95.3994978285,92.3754838624,76.3329539943,1
-51.8854218616,-37.6464173967,24.3040019784,1
280.782880097,-46.3915866347,-23.2510397481,1
11.5520094726,12.5030687542,-18.3317362149,1
-37.5927825927,-36.7918922852,-4.65149128856,1
-141.173234333,-6.40299492099,1.93301877968,1
-29.5303836991,-28.4025988306,-20.3875794763,1
-64.4902557174,51.4359255156,-37.5003469315,1
-81.1568153902,25.5359812745,-34.8582010393,1
-91.673221639,28.0038921715,-36.1509976982,1
-30.1992886908,-13.0813126254,15.9788617262,1
-24.2938784353,32.5274730261,-27.8365557648,1
-80.1274867862,11.4076655165,-18.8542816204,1
1.36229188294,36.7144047473,-57.1496204602,1
-48.2374679347,-54.9491640207,27.3587853486,1
-45.3802390947,-34.338441387,0.856344074493,1
-81.2096458357,33.7209481324,-18.8414119463,1
-102.663839088,-3.19526130936,-7.8679881201,1
-126.109726812,-12.9994073287,25.6323433311,1
-156.233040764,0.135160007179,14.1371301205,1
124.014883495,88.8266814092,70.5110420746,1
99.9015253352,93.9010280915,68.5485648807,1
12.8454996326,-27.0314361434,29.7766869105,1
130.763412447,62.785678332,53.5364748181,1
-64.7028050427,-26.3852304304,63.5703028536,1
-33.9883723631,-19.1395324803,-7.17594081483,1
281.08922391,-44.0903570216,-23.3146284405,1
-32.9158233436,26.7821101628,-65.4043859876,1
-6.92945302105,-15.145398394,-10.9790718504,1
-51.4138059982,38.4275097221,-42.7684531927,1
-6.93167941683,-34.4310497604,17.6595211665,1
14.5671321556,-20.5656344793,27.3496224751,1
6.48980817713,-51.2096543429,24.7497145332,1
-43.6680433362,12.5440021838,-7.01797568519,1
137.60981017,95.8212822663,83.4096751758,1
281.289305305,-42.5677309742,-23.3521641731,1
-140.804630199,12.872073939,-8.48938680704,1
167.439665852,52.5577977469,61.6646783339,1
-13.2713840209,-18.3034639605,41.1982536677,1
-8.79835632493,7.93594618649,-40.998929247,1
-25.2255263268,-10.6673219595,33.5538083487,1
40.6087012063,7.63304262792,16.6200917762,1
-15.0107495028,-24.208884614,-15.8348206288,1
-41.6771062452,-16.3095113848,45.0263911064,1
10.4302063389,-18.4521225839,36.839893271,1
-44.7770991097,23.4655705869,-30.1416734986,1
281.364335827,-41.9967462064,-23.3662400728,1
-2.96595782238,-32.9805833923,9.43212279866,1
-74.3862345723,-3.67625794515,-21.6866328684,1
12.6320878151,-11.7698389264,-26.0814373902,1
11.5958094976,15.7761779882,-56.1353533454,1
-35.9339658947,-12.3393922431,-30.7117902281,1
84.4643978612,99.5148528739,91.2004200795,1
-2.04062193229,-18.2710156186,4.53893864215,1
-72.5140503404,-15.9278267807,47.430420895,1
-26.1987605049,22.8116587962,-22.1808655918,1
-35.8045282281,17.5628711232,-48.2498051344,1
