PC1,PC2,type
-34.2880566553,-58.7913160839,1
68.1999016252,-116.799991374,1
37.9978968422,56.8122820215,1
-54.8966142413,2.71470786991,1
47.8009862297,55.6864412106,1
-24.23314122,63.8358158884,1
66.954635768,51.6913749965,1
45.7783548562,-69.5495747563,1
107.074499656,-43.8163396686,1
-33.9285398279,-33.2309793622,1
58.7250790636,-61.7678521903,1
25.1118294489,-32.9571353521,1
17.5374346518,-86.9644990032,1
-0.820060721602,-50.5431543207,1
44.0790604358,-44.6726129449,1
93.2040737551,-59.6530534604,1
2.07117964059,-116.178892029,1
15.2603100232,12.6060211027,1
5.05805710878,18.3491567222,1
134.238899645,-37.5696000537,1
15.352677848,72.6384581462,1
-93.9010927217,11.4976675239,1
42.5023132186,63.7895305529,1
25.9133010187,41.769307793,1
-145.692233083,-40.8499010204,1
-89.4403827631,-183.623102925,1
8.52412104154,-100.848797234,1
-132.252366059,89.4385270005,1
71.8571210567,-57.888481485,1
17.2359466556,-36.5872743624,1
-71.9569539919,10.1489093299,1
6.90254083009,142.815971998,1
-114.695702194,104.447104637,1
0.755429691065,3.66058500137,1
-0.161164860097,-83.882409375,1
-101.816252937,272.306250406,1
-127.783738083,-117.81243101,1
-102.521718692,271.996776731,1
54.5023055412,-56.241830226,1
-141.851233315,60.2793757898,1
-115.162889883,53.6965761258,1
-80.8472719594,-39.4631881985,1
-47.4534633632,-5.11332571452,1
-31.5685078485,-46.3673525683,1
55.3609613626,-4.41903452369,1
98.7201077438,8.92204813727,1
30.1411539493,-23.4596909357,1
20.9725660045,-80.3557557671,1
-51.0643414783,-101.746832758,1
60.6301090745,86.4645975814,1
29.4218672027,-16.8011938798,1
-1.491759166,89.8031418481,1
64.9335128324,-5.45599613195,1
-55.5720947617,8.64364695272,1
100.098229623,-89.008994965,1
-16.3108210027,-51.4325128559,1
-173.974992594,100.151880684,1
-61.542831303,-27.075654608,1
81.2245304844,23.2784313423,1
-35.7821295718,-86.2953234509,1
-97.3824828971,-166.881968513,1
40.5501527565,-50.5324123537,1
55.5096361721,-101.978369361,1
-46.1553378679,38.0749414769,1
-73.8567911172,61.0814670502,1
5.89007715652,-24.2503752999,1
43.342827747,35.5193895757,1
12.512310691,51.1267364632,1
-89.0041255659,278.151796483,1
87.1200036851,-21.0310894538,1
75.8389676266,31.5567728378,1
-114.346094832,267.685611464,1
80.4792349626,43.2603283341,1
-28.6958968424,1.681987263,1
-123.851985808,-120.580370288,1
-177.63098459,-22.9368297185,1
-59.6574411694,-47.5793457936,1
60.6691549598,-49.1472362176,1
117.126506701,-26.9597862815,1
56.381370571,-10.4229168173,1
-106.417073145,270.376002344,1
-110.905388682,268.754240772,1
39.4396549825,-78.6101378136,1
50.971443307,-91.3231798618,1
-103.133211489,271.801494918,1
64.425949926,38.5466100772,1
78.8147880434,-47.6840731687,1
68.9630287966,-84.7998675925,1
-155.986446634,48.3445049707,1
-28.665015411,-49.1297015668,1
53.6057529011,55.2175300661,1
63.1256032904,5.47070298286,1
21.6420978994,46.9088851583,1
118.14358446,-66.6306025866,1
76.9614696184,-79.2969094269,1
-148.704317501,-19.5274517767,1
33.8478894207,67.2241932857,1
75.9046461744,-2.32590058914,1
-76.3964896109,-20.2445979375,1
99.0504633459,-72.8231436209,1
-5.38860254131,82.1763669142,1
57.6789103453,-120.9454962,1
54.7618407476,-119.125425297,1
32.4183110802,-54.4885411682,1
-12.6630013315,-8.39248206947,1
-160.461332327,-1.50871426901,1
81.1770264081,31.952122773,1
-104.022513609,271.303889464,1
-101.215960107,272.631301493,1
-96.4272789324,90.7124706003,1
-117.938500821,-123.733256346,1
42.4675445079,-123.32864448,1
110.34466096,-4.66161480277,1
93.7125817945,57.9605187107,1
-97.3016618971,-177.635517094,1
39.0635069087,-59.3912993554,1
-203.727501998,-15.9882062136,1
15.7467138338,-46.0703239916,1
