variable,col1,col2
1,7873.56601342,8032.70854861
2,1572.85175394,1641.64227039
3,1340.59819714,1352.10530311
4,1025.60927435,936.657779401
5,484.903503991,480.086659689
6,323.020560493,353.136768121
7,184.26001455,184.724673239
8,158.171227368,177.678305209
9,141.091288725,128.864404942
10,119.78931371,122.795042323
11,109.057549988,108.750949172
12,101.048995342,103.726054208
13,92.4963452197,91.5594895919
14,85.2398206171,81.1489127612
15,75.3384695151,72.6125647966
16,72.1856739699,69.9064147953
17,64.1255097703,62.6316277003
18,59.8096909465,62.2493038838
19,54.8684251139,58.220165181
20,53.1011681641,55.4424992204
21,51.2614144768,54.5012514024
22,45.9937718006,50.4870526989
23,43.5445835378,46.4987176379
24,42.2264849081,45.5619696611
25,39.9827044323,38.652987596
26,37.4925870729,37.2687184168
27,36.9149852279,36.3591319194
28,31.8393760979,32.6796678159
29,29.7898855041,29.8289522491
30,24.7901627794,27.8816128756
31,23.3547281424,27.28329492
32,22.5179888574,19.0149399312
33,15.1477360242,15.3249049285
34,11.6521440789,11.8386764021
35,9.35789525592,8.15576972804
36,8.04948619072,7.26684058363
37,5.41099989627,6.23051404657
