variable,col1,col2
gk_kicking,0.863468099111,0.854385012649
weight,0.533749001336,0.436264014224
long_passing,0.311913182975,0.366374065429
free_kick_accuracy,0.258231535369,0.338977414432
sliding_tackle,0.339591726639,0.326429267192
jumping,0.300741751349,0.269978931185
vision,0.204003972412,0.264436855738
standing_tackle,0.238079980789,0.248388349897
marking,0.229215545486,0.246885944663
balance,0.29366280047,0.236244446276
volleys,0.227194061667,0.23110148715
agility,0.21581591522,0.228234835991
gk_diving,0.210859882083,0.226851085836
heading_accuracy,0.22079713068,0.213971710866
strength,0.239149886197,0.213475485685
penalties,0.316008137426,0.211130910331
curve,0.229772699495,0.198962888402
positioning,0.305722297859,0.198326628011
finishing,0.176544296808,0.191730222135
acceleration,0.1554654708,0.186728321666
gk_reflexes,0.192614108541,0.185814813596
short_passing,0.120401370803,0.180382575888
sprint_speed,0.165957602247,0.175483403241
interceptions,0.130840533034,0.17459944534
gk_handling,0.167233210854,0.161864880653
gk_positioning,0.15540571472,0.155681997252
shot_power,0.09754237823,0.152578936091
aggression,0.107209220229,0.152507760082
dribbling,0.157161038389,0.149587195207
long_shots,0.154149018564,0.145133634684
crossing,0.194774781126,0.137567062846
stamina,0.0969540759571,0.127430481853
potential,0.107466515278,0.123132347417
ball_control,0.0761925116625,0.0834641037486
overall_rating,0.0739005074904,0.0766865013283
reactions,0.0688318852848,0.0665603346585
height,0.0633781534192,0.0626466483572
